2024-04-15 16:46:29 startup archives unpack
2024-04-15 16:46:30 install perl-modules-5.32:all <none> 5.32.1-4+deb11u3
2024-04-15 16:46:30 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u3
2024-04-15 16:46:30 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u3
2024-04-15 16:46:30 install libgdbm6:amd64 <none> 1.19-2
2024-04-15 16:46:30 status triggers-pending libc-bin:amd64 2.31-13+deb11u8
2024-04-15 16:46:30 status half-installed libgdbm6:amd64 1.19-2
2024-04-15 16:46:30 status unpacked libgdbm6:amd64 1.19-2
2024-04-15 16:46:30 install libgdbm-compat4:amd64 <none> 1.19-2
2024-04-15 16:46:30 status half-installed libgdbm-compat4:amd64 1.19-2
2024-04-15 16:46:30 status unpacked libgdbm-compat4:amd64 1.19-2
2024-04-15 16:46:30 install libperl5.32:amd64 <none> 5.32.1-4+deb11u3
2024-04-15 16:46:30 status half-installed libperl5.32:amd64 5.32.1-4+deb11u3
2024-04-15 16:46:31 status unpacked libperl5.32:amd64 5.32.1-4+deb11u3
2024-04-15 16:46:31 install perl:amd64 <none> 5.32.1-4+deb11u3
2024-04-15 16:46:31 status half-installed perl:amd64 5.32.1-4+deb11u3
2024-04-15 16:46:31 status unpacked perl:amd64 5.32.1-4+deb11u3
2024-04-15 16:46:31 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2024-04-15 16:46:31 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:31 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:31 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2024-04-15 16:46:31 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2024-04-15 16:46:31 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2024-04-15 16:46:31 install python3.9-minimal:amd64 <none> 3.9.2-1
2024-04-15 16:46:31 status half-installed python3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:32 status unpacked python3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:32 startup packages configure
2024-04-15 16:46:32 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2024-04-15 16:46:32 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:32 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:32 status installed libpython3.9-minimal:amd64 3.9.2-1
2024-04-15 16:46:32 configure libexpat1:amd64 2.2.10-2+deb11u5 <none>
2024-04-15 16:46:32 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
